= Logs of language model for Lithuanian (lt) =

- Generated by BuildLangModel.py
- Started: 2023-07-08 17:16:01.900858
- Maximum depth: 4
- Max number of characters: 4000000

== Parsed pages ==

Dacijonai (revision 6709137; CACHED)
Hapoel Katamon Jerusalem FC (revision 6682685; CACHED)
Akirunas (revision 5362311; CACHED)
Katiliai (revision 6967684; CACHED)
Alantos gimnazija (revision 6554210; CACHED)
Merkinės seniūnija (revision 6925092; CACHED)
Alsėdžių–Pagermantės miškai (revision 5643300; CACHED)
Bibopas (revision 6945596; CACHED)
Argentina 1908 m. vasaros olimpinėse žaidynėse (revision 5808121; CACHED)
Suljkonas (revision 6989267; CACHED)
Paul Klee (revision 6681461; CACHED)
The New Saints F.C. (revision 6962344; CACHED)
Sông Lam Nghệ An FC (revision 6917888; CACHED)
Investicijų valdymo įmonė (revision 6456100; CACHED)
Sėjamasis rugys (revision 6783060; CACHED)
Simonas Šimkūnas (revision 6230342; CACHED)
Kauno jaunojo žiūrovo teatras (revision 6460616; CACHED)
Birželiai (revision 6708500; CACHED)
Theresa May (revision 6911625; CACHED)
Nuodingasis vėdrynas (revision 6774123; CACHED)
Būtaičiai (Raseiniai) (revision 6819125; CACHED)
Korupcija (revision 6724122; CACHED)
Alpių ragas (revision 6494625; CACHED)
Dominykas Pudžemys (revision 6994012; CACHED)
Armėnijos vėliava (revision 6189232; CACHED)
2016 m. vasaros olimpinės žaidynės (revision 6696082; CACHED)
Kubilai (revision 6944676; CACHED)
Kisieliškiai (revision 6754666; CACHED)
Nicolai Abraham Abildgaard (revision 6196026; CACHED)
Tartakas (Sokulkos apskritis) (revision 6783496; CACHED)
Spalio 2 (revision 6962840; CACHED)
Tartakas (Semiatičės apskritis) (revision 6783495; CACHED)
Paliepių seniūnija (revision 6871345; CACHED)
Balys Matulionis (revision 6878821; CACHED)
Robalai (revision 6033259; CACHED)
Miežis (revision 6564249; CACHED)
Grybas (revision 6956864; CACHED)
Pikeliai (revision 6957964; CACHED)
Natūralios kalbos apdorojimas (revision 6185400; CACHED)
Jugoslavijos vyrų futbolo rinktinė (revision 6764168; CACHED)
Jankiškė (Kelmė) (revision 6800611; CACHED)
Paberžė (Kėdainiai) (revision 6835061; CACHED)
Pakruojo rajono savivaldybė (revision 6950602; CACHED)
Miknaičių ežeras (revision 5797991; CACHED)
Žąsų kepenėlių paštetas (revision 6803258; CACHED)
Kovotojų už Lietuvą sąjunga (revision 6964005; CACHED)
Tilžė (revision 6894713; CACHED)
Kipro futbolo varžybos 1985–1986 m. (revision 6740776; CACHED)
Kipro futbolo varžybos 1986–1987 m. (revision 6740778; CACHED)
Garsas (savaitraštis) (revision 4976133; CACHED)
Flower (revision 6880052; CACHED)
Lenkija 1936 m. žiemos olimpinėse žaidynėse (revision 6494171; CACHED)
Drakono Kalnų parkas (revision 5168229; CACHED)
Smolenskas (revision 6910786; CACHED)
Kraštas (filmas) (revision 6181965; CACHED)
Sergey Brin (revision 5766496; CACHED)
Ulan Batoras (revision 5482575; CACHED)
Marko Kolaković (revision 6829152; CACHED)
Video žaidimas (revision 6929669; CACHED)
Merkio kraštovaizdžio draustinis (revision 6221708; CACHED)
Thomas Christiansen (revision 6953005; CACHED)
Tamošiūnai I (revision 6836160; CACHED)
Buvainiai (revision 6837826; CACHED)
Stripiniai (revision 6821788; CACHED)
Urvinis liūtas (revision 6404183; CACHED)
Kašėtos (Marcinkonys) (revision 6834834; CACHED)
Vytautiškės (revision 6731385; CACHED)
Postmodernizmas (revision 6777491; CACHED)
Oktay Mahmuti (revision 6697633; CACHED)
Linaresas (revision 6902180; CACHED)
Barbagia (revision 6039655; CACHED)
Eiður Guðjohnsen (revision 6953518; CACHED)
Rabato–Salė–Zamuro–Zearo regionas (revision 5580579; CACHED)
Sirtas (Turkija) (revision 6781323; CACHED)
Pasiutligė (revision 6444267; CACHED)
Kretos jūra (revision 6573999; CACHED)
Pėš Merl urvas (revision 5032197; CACHED)
LETA (revision 6724326; CACHED)
Šauklių liepa (revision 6703601; CACHED)
Lietuvos futbolo varžybos 1958 m. (revision 5725761; CACHED)
Dragon Ball GT (revision 6594613; CACHED)
Nadoras (revision 6773027; CACHED)
Charagvos nacionalinis parkas (revision 6794216; CACHED)
Laura Kenny (revision 6359130; CACHED)
Kovo 4 (revision 6962960; CACHED)
Mažeikių Kalnėnų pagrindinė mokykla (revision 6565054; CACHED)
Argentina (revision 6816694; CACHED)
Karaliaučiaus kaimiškoji apskritis (revision 6874832; CACHED)
Opegardas (revision 6995496; CACHED)
Motiejūnai I (revision 6704213; CACHED)
Niežai (revision 6725957; CACHED)
Sutkiškis (revision 6818211; CACHED)
Dotnuva (revision 6844276; CACHED)
Bočia (revision 5785280; CACHED)
Beržėnų seniūnija (revision 5569899; CACHED)
Dokučka (revision 6887389; CACHED)
Pašušvys (Kėdainiai) (revision 6849488; CACHED)
Lentvario geležinkelio stotis (revision 6844059; CACHED)
Euboja (revision 6759013; CACHED)
Vendai (revision 6566142; CACHED)
Še (revision 6886788; CACHED)
1992 m. vasaros olimpinės žaidynės (revision 6939283; CACHED)
Akara (miestas) (revision 6893367; CACHED)
FC Midtjylland (revision 6990358; CACHED)
MTV video muzikos apdovanojimai (revision 5984730; CACHED)
Vokietijos futbolo varžybos 2018–2019 m. (revision 6946438; CACHED)
Polimerų fizika (revision 5879411; CACHED)
Matthew Flinders (revision 6204436; CACHED)
Ignalinos Česlovo Kudabos progimnazija (revision 6935968; CACHED)
Pajūriškių kapinės (revision 6674172; CACHED)
Mukulių apylinkė (revision 6643598; CACHED)
Kaulakiai (revision 6852521; CACHED)
JAV užsienio politika (revision 6863886; CACHED)
Eišiškių sinagoga (revision 6936226; CACHED)
Cristiano Ronaldo (revision 6990554; CACHED)
Hoklai (revision 6429817; CACHED)
Anglai (revision 6819767; CACHED)
Libijos geografija (revision 6473315; CACHED)
Siemens AG (revision 6796841; CACHED)
Aukštutiniai Kaniūkai (revision 6717768; CACHED)
Juozas Kulys (revision 6881215; CACHED)
Kukečių seniūnija (revision 6711064; CACHED)
Antanas Tamošaitis (1906) (revision 6448938; CACHED)
Slovakijos futbolo varžybos 2020–2021 m. (revision 6742499; CACHED)
Šimkūnai (Utena) (revision 6869462; CACHED)
Jonas Šliūpas (revision 6648809; CACHED)
AS Jeunesse Esch (revision 6720343; CACHED)
Paprastoji jonažolė (revision 6030783; CACHED)
Oseras (revision 6774731; CACHED)
Armališkės (Utena) (revision 6869348; CACHED)
Darchanas (revision 6758098; CACHED)
Šrekas (revision 6905976; CACHED)
Mamelodi Sundowns FC (revision 6972637; CACHED)
Eurolyga (revision 6966307; CACHED)
Japonijos futbolo varžybos 2021 m. (revision 6819863; CACHED)
Jaclyn Narracott (revision 6503526; CACHED)
Brodnica (revision 6922244; CACHED)
Medžioklė su sakalais (revision 6965104; CACHED)
Vokietijos futbolo varžybos 1961–1962 m. (revision 6743260; CACHED)
Studentų mokslinė draugija (revision 5780363; CACHED)
Klepačevas (revision 6766561; CACHED)
Šakiai (Gaurė) (revision 6859706; CACHED)
Eskuintla (revision 6913834; CACHED)
transistor (revision 6146724; CACHED)
Ragana (1973 filmas) (revision 6249781; CACHED)
Širvintų apylinkė (revision 6642412; CACHED)
VJFK Trakai (revision 6755377; CACHED)
Varnėnai (Raseiniai) (revision 6845514; CACHED)
Kubilių apylinkė (Kelmė) (revision 6638239; CACHED)
Moteris (žurnalas) (revision 6035906; CACHED)
Nesojos (revision 6283626; CACHED)
Turbina (revision 6436517; CACHED)
Stambulo Anadolu Efes (revision 6986982; CACHED)
Weekly Shōnen Jump (revision 6359192; CACHED)
Miknaičiai (Jonava) (revision 6891069; CACHED)
Liuksemburgo stadionas (revision 6855429; CACHED)
Valdas Adamkus (revision 6965209; CACHED)
Fada Ngurma (revision 6759235; CACHED)
Steponas Ašmontas (revision 6199906; CACHED)
Dvožyskas (Balstogė) (revision 6951063; CACHED)
Um ar Rasas (revision 6288125; CACHED)
Vytautas Kolesnikovas (revision 6407012; CACHED)
Pavydžių piliakalnis (revision 5902876; CACHED)
Andrius Žiurauskas (revision 6856110; CACHED)
Albanijos futbolo varžybos 1987–1988 m. (revision 6739327; CACHED)
Valtteri Bottas (revision 6715497; CACHED)
S.C. Braga (revision 6974946; CACHED)
Tina Maze (revision 6351892; CACHED)
Kalnuotė VI (revision 6890256; CACHED)
Miškininkystė (revision 5102915; CACHED)
Hapoel (Jeruzalės krepšinio klubas) (revision 6876322; CACHED)
Dailidžių akmuo (revision 6194022; CACHED)
Škotijos futbolo varžybos 1982–1983 m. (revision 6442532; CACHED)
Vilniaus žodis (revision 4977704; CACHED)
Čėsniškė (revision 6800704; CACHED)
Zulingenas (revision 5556131; CACHED)
Feliksas Marcinkas (revision 6880020; CACHED)
Fimleikafélag Hafnarfjarðar (revision 6934477; CACHED)
La Troškinys (revision 5904028; CACHED)
Stirbaičių apylinkė (Tauragė) (revision 6642714; CACHED)
Kavalieriaus karaliaus Karolio spanielis (revision 6965946; CACHED)
Krikščioniškoji demokratija (revision 5828125; CACHED)
Brodnicos valsčius (Pinskas) (revision 6907755; CACHED)
VDR futbolo varžybos 1949–1950 m. (revision 6728537; CACHED)
Austrijos futbolo varžybos 1976–1977 m. (revision 6734049; CACHED)
Delavero kolonija (revision 6942058; CACHED)
Šiaurės Airijos futbolo varžybos 1996–1997 m. (revision 6502405; CACHED)
Lietuvos futbolo varžybos 1954 m. (revision 5725757; CACHED)
Kickers Stuttgart (revision 6718635; CACHED)
Ąžuolų Būda (revision 6960583; CACHED)
Molėtų Ežerūnas-karys (revision 6939495; CACHED)
Amerika (revision 6991767; CACHED)
Bacteria (revision 6938325; CACHED)
Sebežo apskritis (revision 6903782; CACHED)
2019 m. pasaulio rogučių sporto čempionatas (revision 6909379; CACHED)
Bavarija (revision 6941319; CACHED)
Sąjungininkų okupuota Vokietija (revision 6627052; CACHED)
Rugsėjo 6 (revision 6645807; CACHED)
Černiai (Anykščiai) (revision 6939961; CACHED)
Toronto Raptors (revision 6947879; CACHED)
Tekstilė (revision 5849917; CACHED)
Mykolė Krinickaitė-Astaškienė (revision 6883262; CACHED)
Mikašoveko ežeras (revision 4698064; CACHED)
Etimologija (revision 6603393; CACHED)
Antonov An-2 (revision 6791264; CACHED)
Akustika (revision 5270194; CACHED)
Mieliūnų apylinkė (revision 6639833; CACHED)
Fortum (revision 6507175; CACHED)
Frederiksbergas (revision 5552287; CACHED)
Keith Richards (revision 6461037; CACHED)
Band on the Run (revision 6971288; CACHED)
Izraelio futbolo varžybos 1960–1961 m. (revision 6740875; CACHED)
Gruodžio 22 (revision 6373593; CACHED)
Nyderlandų karalienė Beatričė (revision 5906906; CACHED)
Armėnijos futbolo varžybos 2016–2017 m. (revision 6710367; CACHED)
Slepišerė (revision 5809529; CACHED)
Ocean (revision 6832880; CACHED)
Uoksų piliakalnis (revision 6885717; CACHED)
Viduriavimas (revision 5703718; CACHED)
Technology (revision 5432812; CACHED)
Invensys (revision 6866225; CACHED)
Madison Anne Gibson (revision 6625574; CACHED)
Port Filipo įlanka (revision 5800512; CACHED)
1896 m. vasaros olimpinių žaidynių medalių lentelė (revision 5570836; CACHED)
Paprastasis lazdynas (revision 6828803; CACHED)
Čiūželiai (revision 6811802; CACHED)
Kovalė (Balstogės apskritis) (revision 6767451; CACHED)
Berzgainių piliakalnis (revision 6444357; CACHED)
Arnas (atolas) (revision 6757130; CACHED)
Pakamaris (revision 5498790; CACHED)
Stirbaičiai (Gaurė) (revision 6859705; CACHED)
Šešuolėlių I dvaras (revision 6635551; CACHED)
Frankfurto mokykla (revision 5910330; CACHED)
Divrihio didžioji mečetė (revision 6554577; CACHED)
Scholar (revision 5061169; CACHED)
Vytauto Didžiojo universiteto Humanitarinių mokslų fakultetas (revision 6588197; CACHED)
Albanijos futbolo varžybos 1971–1972 m. (revision 6739307; CACHED)
Afganistano karas (1979–1989) (revision 6877820; CACHED)
Borovskie Gzikai (revision 6925732; CACHED)
Lenkčiai II (revision 6874307; CACHED)
Lietuvos olimpinis komitetas (revision 6738031; CACHED)
Baltijos kelias (revision 6967770; CACHED)
Kalnai (Saldus) (revision 5482840; CACHED)
Simone Cristicchi (revision 6911136; CACHED)
Slovakijos futbolo varžybos 2007–2008 m. (revision 6742469; CACHED)
Paranoja (filmas) (revision 4945434; CACHED)
1. FC Köln (revision 6988006; CACHED)
Senėjimas (revision 6582547; CACHED)
Birželio 10 (revision 6979306; CACHED)
Juvencijus Deikus (revision 6881377; CACHED)
1908 m. vasaros olimpinės žaidynės (revision 6264059; CACHED)
Prancūzija olimpinėse žaidynėse (revision 6816700; CACHED)
Ornamentas (revision 6605304; CACHED)
Universal Pictures (revision 6506226; CACHED)
Vėžupėliai (revision 6383368; CACHED)
KS Vllaznia Shkodër (revision 6970886; CACHED)
UEFA čempionų lyga 2020–2021 m. (revision 6746335; CACHED)
Vokietijos futbolo varžybos 1971–1972 m. (revision 6743279; CACHED)
Rūkas (revision 6744892; CACHED)
Juodgirio II ąžuolas (revision 6194005; CACHED)
Baravykinės kraštovaizdžio draustinis (revision 6706941; CACHED)
Tiškevičiai (revision 6822371; CACHED)
Rigaluvka (revision 6495946; CACHED)
Pabalvės durpynas (revision 6348973; CACHED)
Kolasjokis (revision 6045399; CACHED)
Jan Both (revision 6638858; CACHED)
Ročiškės piliakalnis (revision 6884653; CACHED)
Golfas (revision 6362993; CACHED)
Pžestželė (Lomžos apskritis) (revision 6778256; CACHED)
Matiškiemiai (revision 6935700; CACHED)
Lukšių Vinco Grybo gimnazija (revision 6966935; CACHED)
Associated Press (revision 6488601; CACHED)
Austrijos futbolo varžybos 1969–1970 m. (revision 6734041; CACHED)
Santa Maria Maggiore (revision 5122403; CACHED)
Manny Mori (revision 6631150; CACHED)
Armališkės (Kazlų Rūda) (revision 6799082; CACHED)
Vytautas Pranas Bičiūnas (revision 5145122; CACHED)
Mikas Džageris (revision 6559308; CACHED)
Afladžo drėkinimo sistemos (revision 6965131; CACHED)
Lynn Redgrave (revision 6474543; CACHED)
Frankfurtas prie Maino (revision 6959337; CACHED)
Robbie Keane (revision 6952903; CACHED)
Nove Holovčicė (revision 6773957; CACHED)
Neptūnas (krepšinio komanda) (revision 6978011; CACHED)
Kuišingas (revision 6714620; CACHED)
Isokos apskritis (revision 6798206; CACHED)
Didžioji Libijos Arabų Socialistinė Liaudies Džamahirija (revision 6829606; CACHED)
Gegužės trečiosios Konstitucija (revision 6445819; CACHED)
Rugsėjo 7 (revision 6421501; CACHED)
Desertas (revision 6795170; CACHED)
Giriniai (viensėdis) (revision 6805616; CACHED)
Earth (revision 6450904; CACHED)
Sen Deni (revision 6397186; CACHED)
Gudiškių vienuolynas (revision 6300148; CACHED)
Moliuskai (revision 6971129; CACHED)
Veimaro Respublika (revision 6949384; CACHED)
Kudirkos Naumiesčio Penkių Maskvos šventųjų kapinių koplyčia (revision 6954463; CACHED)
Sveržanio valsčius (Minskas) (revision 6949018; CACHED)
Dainiai (Pilkalnio apskritis) (revision 6383341; CACHED)
Vakarų konferencija (NBA) (revision 6995091; CACHED)
Kernavės seniūnija (revision 6976329; CACHED)
Island Records (revision 5531202; CACHED)
Urėjai (revision 6283664; CACHED)
Paviščiovys (revision 6755738; CACHED)
Andrius Jurkūnas (revision 6940951; CACHED)
Vengrijos futbolo varžybos 2018–2019 m. (revision 6740594; CACHED)
Juragiai (Panevėžys) (revision 6822238; CACHED)
Giovanna Ralli (revision 6249719; CACHED)
Federalinis tyrimų biuras (revision 6929959; CACHED)
Miknaičiai (Joniškis) (revision 6891072; CACHED)
Lietuvos verslo kolegija (revision 6887247; CACHED)
Aleksejevka (Oriolo sritis) (revision 5843687; CACHED)
Coleraine FC (revision 6953338; CACHED)
Konskiai (revision 6980477; CACHED)
Žiogeliai (Druskininkai) (revision 6706482; CACHED)
Lebedzinas (Sokulkos apskritis) (revision 6769008; CACHED)
Selmoniškiai (revision 6859747; CACHED)
Maršalo Salos (revision 6888433; CACHED)
Gruzdžių valsčius (revision 6887876; CACHED)
Mantas Armalis (revision 6494520; CACHED)
Stara Kamionka (revision 6782302; CACHED)
Pernarava (kaimas) (revision 6799913; CACHED)
Dovilų seniūnija (revision 6720609; CACHED)
Kareda Kaunas (revision 6724725; CACHED)
Tytuvėnėlių dvaras (revision 6474111; CACHED)
Marcinkiškės (revision 6847942; CACHED)
Pilatovščizna (revision 6776535; CACHED)
Lietuvos futbolo varžybos 1936 m. (revision 5725737; CACHED)
Japoninis skirpstulas (revision 6763603; CACHED)
Azerbaidžano futbolo varžybos 2000–2001 m. (revision 6696353; CACHED)
Kuldygos savivaldybė (revision 6363098; CACHED)
Kinburno pusiasalis (revision 6852386; CACHED)
Super Mario Bros. (revision 5060821; CACHED)
Dahlak Kebiras (revision 6794742; CACHED)
Darmštato (revision 4346841; CACHED)
Lietuvos futbolo varžybos 1960–1961 m. (revision 5725764; CACHED)
Gyvatnešis (revision 6841914; CACHED)
Šafranas (revision 6802907; CACHED)
Medininkų GS (revision 6700717; CACHED)
Giedrius Sasnauskas (revision 6890009; CACHED)
Vikūnai (revision 6699893; CACHED)
Lietuvininkai (revision 6401111; CACHED)
Agincourt (revision 6812156; CACHED)
Kipro futbolo varžybos 2010–2011 m. (revision 6740837; CACHED)
Seimo Pirmininkas (revision 6950040; CACHED)
Europos Sąjungos Taryba (revision 6993045; CACHED)
Montana (revision 6725748; CACHED)
Petras Kiaulėnas (revision 6495537; CACHED)
Richard Nixon (revision 6866752; CACHED)
Paul Butterfield (revision 6962938; CACHED)
Žemė tarp Skrundos ir Žemgalos (revision 6910982; CACHED)
Šilininkai (Šakiai) (revision 6708934; CACHED)
Neretos savivaldybė (revision 6426640; CACHED)
Sniego gniūžtės Žemė (revision 6902038; CACHED)
Vengrijos futbolo varžybos 2021–2022 m. (revision 6740601; CACHED)
Vokietijos futbolo varžybos 1905–1906 m. (revision 6934544; CACHED)
Kylis (revision 6850847; CACHED)
Liaudies etimologija (revision 6707876; CACHED)
Balstogės Čarnos valsčius (revision 6925376; CACHED)
Laukagaliai (revision 6734224; CACHED)
Džersifas (revision 6758473; CACHED)
Šilėnai (Prienai) (revision 6812779; CACHED)
Estijos futbolo varžybos 1994–1995 m. (revision 6748735; CACHED)
07 Vestur (revision 6730669; CACHED)
Adam Nawałka (revision 6984458; CACHED)
SC Campomaiorense (revision 6953462; CACHED)
Kižai (revision 6847292; CACHED)
Sokulkos apskritis (1919–1939) (revision 6927974; CACHED)
Voveriai (revision 6709865; CACHED)
Pašventys (revision 6709960; CACHED)
Girėliškiai B (revision 6354316; CACHED)
Aguilera (revision 6360900; CACHED)
Naidželas Šortas (revision 6664223; CACHED)
9A-91 (revision 6209582; CACHED)
Džordžtaunas (Sent Vinsentas) (revision 6796229; CACHED)
Vynuogių sėklų aliejus (revision 6406030; CACHED)
Šveicarijos futbolo varžybos 2021–2022 m. (revision 6982415; CACHED)
Burakavas (revision 6707765; CACHED)
Tarpučiai (Šunskai) (revision 6803139; CACHED)
Pietų Kalimantanas (revision 6833599; CACHED)
2022 m. Europos moterų sportinės gimnastikos čempionatas (revision 6938718; CACHED)
Liubavičių valsčius (Orša) (revision 6989290; CACHED)
Priekulė (revision 6971410; CACHED)
Stirbaičių piliakalnis (revision 6885309; CACHED)
Labentnikas (revision 6768565; CACHED)
Islandijos kolonizacija (revision 6867095; CACHED)
Farinelli (revision 6175404; CACHED)
Orchono slėnis (revision 5776947; CACHED)
AK-103 (revision 6095182; CACHED)
Singapūras olimpinėse žaidynėse (revision 6421556; CACHED)
Garsas (kino teatras) (revision 6468344; CACHED)
Stočekas (Balstogė) (revision 6936836; CACHED)
Buivydžiai I (revision 6929823; CACHED)
Anri Bergsonas (revision 5780788; CACHED)
Barglavo valsčius (revision 6919608; CACHED)
The Moody Blues (revision 6025194; CACHED)
Kengo Ota (revision 6821418; CACHED)
Šachmatų vunderkindas (revision 6900100; CACHED)
Pėnemiundė (revision 6725101; CACHED)
Evo Morales (revision 6614832; CACHED)
Lietuvos futbolo varžybos 2005 m. (revision 6724694; CACHED)
Debeikių II tvenkinys (revision 5980600; CACHED)
Lietuvos futbolo varžybos 1945 m. (revision 5725747; CACHED)
Vologdos sritis (revision 6573745; CACHED)
Tajenkas (revision 6783241; CACHED)
Čyžev Stacja (revision 6921203; CACHED)
