= Logs of language model for Norwegian (no) =

- Generated by BuildLangModel.py
- Started: 2023-07-08 21:11:55.114329
- Maximum depth: 4
- Max number of characters: 4000000

== Parsed pages ==

Hausmanns gate holdeplass (revision 22371470; CACHED)
Nettvinger (revision 21476867; CACHED)
Skånetrafiken (revision 16685099; CACHED)
T-banen i Oslo (revision 23626287; CACHED)
Ilmir Khaziotdinov (revision 23326575; CACHED)
Tettstedet Oslo (revision 23636530; CACHED)
Supernova (revision 22811099; CACHED)
Botia histrionica (revision 22941727; CACHED)
Yasuhikotakia (revision 17817660; CACHED)
Slaget ved Carrhae (revision 23652748; CACHED)
Musiker (revision 16555297; CACHED)
Gravevepser (Crabronidae) (revision 22868752; CACHED)
Pseudergolini (revision 22906997; CACHED)
Flakstad (revision 23388793; CACHED)
Karpefisker (revision 23036366; CACHED)
Streptococcus (revision 16228393; CACHED)
Isaac Newton (revision 23623390; CACHED)
Tromsø (revision 23658477; CACHED)
Austvågøya (revision 23159430; CACHED)
Krauss-Maffei (revision 23260348; CACHED)
Morten Hagebø (revision 23256322; CACHED)
Kate Douglass (revision 23509366; CACHED)
Spiker (revision 22945771; CACHED)
Magnetfelt (revision 23393650; CACHED)
Piacenza (revision 23494015; CACHED)
Kollektivtrafikk (revision 20559787; CACHED)
William Wilson (revision 20697544; CACHED)
Bacteria (revision 23644832; CACHED)
De Bello Alexandrino (revision 20456756; CACHED)
Pickup (bil) (revision 23393102; CACHED)
Finlands riksdag (revision 23520637; CACHED)
Halvor Andersen (revision 18629386; CACHED)
Ochlodes (revision 22887889; CACHED)
Samy Boutouil (revision 22835067; CACHED)
Ytre Østfold (revision 23645363; CACHED)
Heliosentrisme (revision 20332417; CACHED)
Mollie O’Callaghan (revision 23183853; CACHED)
Pacifastacus nigrescens (revision 23495912; CACHED)
Meindert DeJong (revision 21956393; CACHED)
Folklore (revision 23627007; CACHED)
Riley McGuire (revision 20940655; CACHED)
Aagot Didriksen (revision 21198954; CACHED)
Johannes Brandtzæg (revision 21900445; CACHED)
Aksehelning (revision 23271737; CACHED)
Park Sung-woo (revision 23644219; CACHED)
The Movie Database (revision 23017607; CACHED)
History (revision 23399922; CACHED)
Breivikeidet (revision 23063140; CACHED)
Moskva (revision 23591574; CACHED)
Domenico Vandelli (revision 21266297; CACHED)
Alexandre Letellier (revision 21854434; CACHED)
Kristiania Sporveisselskab (revision 22875728; CACHED)
Bhutan (revision 23525621; CACHED)
Paradise Garden (revision 23139425; CACHED)
Aggie Peterson (revision 23457337; CACHED)
Tartu universitet (revision 23113049; CACHED)
Norsk Oljevernforening For Operatørselskap (revision 22417748; CACHED)
Kelvin (revision 23432913; CACHED)
VM i friidrett 1999 (revision 19731780; CACHED)
Kylie Palmer (revision 23188925; CACHED)
VM i friidrett 2011 (revision 19862247; CACHED)
Induskulturen (revision 22955326; CACHED)
Martin Schøyen (revision 22325139; CACHED)
Hjerteslag (band) (revision 23261515; CACHED)
Melizoderidae (revision 18414214; CACHED)
Ullevål hageby-linjen (revision 23372925; CACHED)
Gilgamesj (revision 23651484; CACHED)
Økonomi (revision 23481285; CACHED)
Franjo Komarica (revision 23563140; CACHED)
Befolkningstetthet (revision 22253839; CACHED)
HD 179949 (revision 17046019; CACHED)
Al-Battani (revision 23362953; CACHED)
Sumeria (revision 23583194; CACHED)
Bengalbotia (revision 17817556; CACHED)
Nääs slott (revision 23428807; CACHED)
Piotrkowska-gaten (revision 23616722; CACHED)
Solflekk (revision 22322663; CACHED)
Norgesmesterskapet i håndball for kvinner 1972 (revision 23673706; CACHED)
Flamen (revision 22120724; CACHED)
Gerhard Schønings skole (revision 23346376; CACHED)
Handelsmann (revision 23655026; CACHED)
Lappland (Finland) (revision 23061944; CACHED)
Jonas Gahr Støre (revision 23672084; CACHED)
Jevgenij Maskinskov (revision 20962972; CACHED)
Pentode (revision 21279308; CACHED)
William Shakespeare (revision 23637247; CACHED)
Det første franske keiserdømmet (revision 21882857; CACHED)
Pinhais (revision 20898595; CACHED)
Lene Drange (revision 22106873; CACHED)
Sinsenlinjen (revision 23173086; CACHED)
Maria Teresia av Østerrike (revision 23015425; CACHED)
Buøya (Nærøy) (revision 23383409; CACHED)
Kinas kommunistparti (revision 23369376; CACHED)
Mitridates VI av Pontos (revision 20419410; CACHED)
Det romerske kongedømme (revision 23602009; CACHED)
Billedkunst (revision 19360075; CACHED)
Joe Morello (revision 21014079; CACHED)
Petter Westlund (revision 19149890; CACHED)
Phoenix (romsonde) (revision 23580546; CACHED)
Ankhises (revision 18475804; CACHED)
Afrika (revision 23425746; CACHED)
Arsen (revision 23425793; CACHED)
Federal Highway Administration (revision 23558475; CACHED)
FC Mulhouse (revision 21245714; CACHED)
Loránd Eötvös (revision 22910566; CACHED)
Michelet (revision 23426444; CACHED)
transistor (revision 23124437; CACHED)
John Edward Gray (revision 18491804; CACHED)
Weather (revision 22969377; CACHED)
Květa Pacovská (revision 23624069; CACHED)
Janus (mytologi) (revision 17500784; CACHED)
Euphorbiaceae (revision 16892587; CACHED)
Li Peng (revision 21644412; CACHED)
Glossata (revision 17904420; CACHED)
Romersk religion (revision 18835264; CACHED)
Buffy, vampyrenes skrekk (revision 20997681; CACHED)
Valberg (revision 22920742; CACHED)
Colin Mackerras (revision 21837368; CACHED)
Holmenkolbanen (revision 20782211; CACHED)
Pedagogikk (revision 22760472; CACHED)
Eulepidoptera (revision 23006566; CACHED)
Max Velthuijs (revision 20993179; CACHED)
Petria Thomas (revision 23044728; CACHED)
Unalaska, Alaska (revision 23457502; CACHED)
Biografi (revision 20973613; CACHED)
Eliteserien i ishockey for menn 2002/03 (revision 23534272; CACHED)
Avisåret 1857 (revision 21062425; CACHED)
Diktator (romersk) (revision 23269483; CACHED)
Fleet Air Arm (revision 20717333; CACHED)
Konsentrasjonsleiren Esterwegen (revision 23007398; CACHED)
Anthracophorides (revision 23649518; CACHED)
Luminositet (revision 22995748; CACHED)
Mørk tåke (revision 18762950; CACHED)
Obsidian (revision 23477615; CACHED)
Li Bingjie (revision 23353677; CACHED)
Sæter holdeplass (revision 22402119; CACHED)
Grunnskole (revision 22242828; CACHED)
Juneau (revision 22914832; CACHED)
Diana Munz (revision 22418764; CACHED)
Edward Yerbury Watson1Watson (revision 22887353; CACHED)
Æreslegionen (revision 23367035; CACHED)
Sofja Prosvirnova (revision 23519136; CACHED)
Oddelia naturreservat (revision 20640699; CACHED)
Damplassen (Oslo) (revision 22356085; CACHED)
Sveinung Leirvik (revision 20139023; CACHED)
Megan Romano (revision 23627655; CACHED)
Marcus Tullius Cicero (revision 23276724; CACHED)
Chemistry (revision 21359709; CACHED)
Food (revision 23548065; CACHED)
I denna natt blir världen ny – Jul i Betlehem II (revision 21718831; CACHED)
Datanett (revision 23110347; CACHED)
Dominique Gisin (revision 23149931; CACHED)
Chris Harrington (revision 23607239; CACHED)
Boksing under Sommer-OL 2008 – Mellomvekt (revision 23626682; CACHED)
Hamnøy (revision 22555279; CACHED)
Palau under VM i friidrett 2011 (revision 22997739; CACHED)
Namdalen (revision 23429825; CACHED)
Kotajk (revision 20434207; CACHED)
Trafikkdata (telekommunikasjon) (revision 23657968; CACHED)
Mesopotamisk mytologi (revision 22861052; CACHED)
Republikken Kina (1912–1949) (revision 23313363; CACHED)
Motstand (resistans) (revision 23273234; CACHED)
Geir Pollestad (revision 21993334; CACHED)
Bibcode (revision 23112436; CACHED)
Coor (revision 19631922; CACHED)
Inntekt (revision 22105296; CACHED)
Ullevål sykehus holdeplass (revision 22404313; CACHED)
Botswana under Afrikamesterskapet i friidrett 2010 (revision 19573663; CACHED)
Larer (revision 23654914; CACHED)
EM i friidrett innendørs 2019 – 800 meter menn (revision 23436781; CACHED)
Magnus Helge Torvanger (revision 20166369; CACHED)
Lofotfisket (revision 23359866; CACHED)
Zadoi (revision 15186149; CACHED)
Midt-Buskerud (revision 23672470; CACHED)
Sosiolog (revision 22251571; CACHED)
Ussurilumpia trichaptumi (revision 22949423; CACHED)
diode (revision 22047783; CACHED)
Wesmaelius malladai (revision 22941366; CACHED)
Vergil (revision 23675602; CACHED)
Glutation (revision 20739084; CACHED)
Jason (gresk mytologi) (revision 23490747; CACHED)
Andrew Claude de la Cherois Crommelin (revision 22580678; CACHED)
Tom Petty and the Heartbreakers (album) (revision 23657446; CACHED)
Rustning (revision 23675400; CACHED)
Frankrikes herrelandslag i fotball (revision 23673036; CACHED)
Caesar (revision 23625643; CACHED)
Den julianske kalenderen (revision 23187995; CACHED)
Shanghai (revision 23554385; CACHED)
Brudd (bok) (revision 23290407; CACHED)
Saturn (revision 23559522; CACHED)
Malerkunst (revision 18875933; CACHED)
Indre Østfold (distrikt) (revision 23233112; CACHED)
Markedsøkonomi (revision 21881702; CACHED)
Atomkraftverk (revision 23170300; CACHED)
Aérospatiale SA 330 Puma (revision 19386621; CACHED)
Densitet (revision 23389577; CACHED)
Konger av Babylonia (revision 23542551; CACHED)
Kingsley Coman (revision 23521555; CACHED)
Mastaba (revision 15194437; CACHED)
(303775) 2005 QU182 (revision 22798038; CACHED)
Diepperaidet (revision 22756401; CACHED)
Pulsbreddemodulasjon (revision 21355197; CACHED)
Idrettsforeningen Sparta (revision 23659160; CACHED)
Gaustadalléen holdeplass (revision 22366797; CACHED)
Yakutat, Alaska (revision 22407857; CACHED)
Arnobiopsis (revision 22535379; CACHED)
Smerlinger (revision 23415317; CACHED)
Marian Heffernan (revision 23633881; CACHED)
Computerworld (revision 23564365; CACHED)
Vågan (revision 23600630; CACHED)
Beneath the Snow Encumbered Branches (revision 22066603; CACHED)
Grunnkretser i Kongsvinger kommune (revision 21922385; CACHED)
Brunflekket perlemorvinge (revision 23241077; CACHED)
Gitarist (revision 20787863; CACHED)
Gabriel Arroyo (revision 23618932; CACHED)
Vadmyra (revision 22404948; CACHED)
Romantisk musikk (revision 23402973; CACHED)
Pratchett (revision 23431445; CACHED)
SpareBank 1 Nord-Norge (revision 23488007; CACHED)
De tre kløfters demning (revision 23610552; CACHED)
Human (revision 23567435; CACHED)
Sporvei (revision 23487702; CACHED)
Prestegjeld (revision 23671189; CACHED)
Vannpolo under Middelhavslekene 1991 (revision 20323200; CACHED)
Tycho Brahe (revision 23666845; CACHED)
Kjell-Inge Bråtveit (revision 21838424; CACHED)
Nordhordland (revision 23435084; CACHED)
Language (revision 23567439; CACHED)
Astronomisk fotografering (revision 23006824; CACHED)
Fengsel (revision 23616574; CACHED)
Francis Buchanan-Hamilton (revision 21834304; CACHED)
Svingbass (revision 19052661; CACHED)
Scholar (revision 23503163; CACHED)
Circus Maximus (revision 22355201; CACHED)
Evangeliet etter Matteus (revision 23409406; CACHED)
Frederik Nannestad (revision 19962809; CACHED)
Elvis Presley (revision 23430905; CACHED)
Ganešjohka (revision 23154999; CACHED)
British Museum (revision 23475488; CACHED)
Thimothée Pembélé (revision 23673312; CACHED)
Sebastian Fleischer (revision 23408982; CACHED)
Grenseinntekt (revision 21800382; CACHED)
Minoritetsspråk (revision 23655536; CACHED)
Romvandring (revision 23537951; CACHED)
Wienerkongressen (revision 23626929; CACHED)
Mankato (Minnesota) (revision 23543825; CACHED)
Bentisk sone (revision 22919854; CACHED)
Cosmodiscus (revision 23558835; CACHED)
Ipiranga do Sul (revision 20901302; CACHED)
Det andre triumvirat (revision 20392762; CACHED)
Veneziabiennalen (revision 22521673; CACHED)
Maunders minimum (revision 21803665; CACHED)
Kensington (Victoria) (revision 23260718; CACHED)
John Pål Inderberg (revision 23577686; CACHED)
Technology (revision 23215623; CACHED)
Appian (revision 23464430; CACHED)
Skiskyting under Asiatiske vinterleker 2011 (revision 20281668; CACHED)
Polyandri (revision 20219795; CACHED)
Karl von Terzaghi (revision 22795261; CACHED)
Dima Bilan (revision 20728457; CACHED)
Vestvågøya (revision 23233255; CACHED)
Svolvær kirke (revision 23641538; CACHED)
Hesperiidae (revision 22885940; CACHED)
Lulesamisk (revision 23494864; CACHED)
Skogringvinge (revision 20633946; CACHED)
MS «Hjelmelandsfjord» (1945) (revision 22551131; CACHED)
Doktor Smiths vei holdeplass (revision 22813525; CACHED)
Peter Deilmann Cruises (revision 23128016; CACHED)
Moskenesøya (revision 22827532; CACHED)
Haiti (revision 23158983; CACHED)
Øyvind Jenssen (revision 23045609; CACHED)
Russland (revision 23674288; CACHED)
Kinas Grand Prix 2013 (revision 22784033; CACHED)
Bird (revision 23524379; CACHED)
Long Beach, Indiana (revision 18498888; CACHED)
Lanse (revision 15292586; CACHED)
Troms fylkestrafikk (revision 23436578; CACHED)
Yan'an (revision 21950313; CACHED)
Las Cruces (revision 22519137; CACHED)
Gravitonastronomi (revision 23314843; CACHED)
Didier Deschamps (revision 23122415; CACHED)
Napoleon I (revision 23573160; CACHED)
Spiralgalakse (revision 21302565; CACHED)
Radio RV (revision 23101369; CACHED)
1375 Alfreda (revision 17366083; CACHED)
Chantal Groot (revision 22729313; CACHED)
Prudente José de Morais e Barros (revision 20460502; CACHED)
I kveld med Ylvis (revision 23678709; CACHED)
Opportunity (Mars-rover) (revision 23386568; CACHED)
Robot (revision 21983458; CACHED)
Laila Kragebøl (revision 23522591; CACHED)
Pseudautomeris rudloffi rudecuatorialis (revision 22942367; CACHED)
Quirinus (revision 22654725; CACHED)
Saft (revision 23256798; CACHED)
Hunterston kjernekraftverk (revision 23576815; CACHED)
The Masters Tournament 1961 (revision 23430479; CACHED)
Luuk Verbij (revision 22806484; CACHED)
Majorstuen (revision 23361818; CACHED)
Furulund holdeplass (revision 22364436; CACHED)
Haviland Morris (revision 20417471; CACHED)
Bladlus (revision 18429250; CACHED)
Investorrelasjoner (revision 15246068; CACHED)
Gurskøya (revision 23397120; CACHED)
133. forsyningsbrigade (revision 19328477; CACHED)
Homansbyen holdeplass (revision 23654491; CACHED)
Black Point kraftverk (revision 21125297; CACHED)
Jerevan (revision 22574944; CACHED)
Sør-Hålogaland bispedømme (revision 23552021; CACHED)
Drammensgranitt (revision 23676731; CACHED)
AllMovie (revision 23623587; CACHED)
MusicBrainz (revision 23411454; CACHED)
Gunnerus (revision 23240950; CACHED)
Thiago Motta (revision 23007338; CACHED)
Kortbane-VM i svømming 2014 (revision 23347359; CACHED)
Bojarka (revision 23012250; CACHED)
Kurt Zouma (revision 23349077; CACHED)
Jegere og samlere (revision 22159084; CACHED)
Calendar (revision 22420662; CACHED)
Stearns County (revision 22637920; CACHED)
Filosofiåret 1079 (revision 19596241; CACHED)
Paragraf 175 (revision 23243563; CACHED)
University of Cambridge (revision 21144454; CACHED)
Antikken (revision 22943525; CACHED)
Chaplin (revision 23581770; CACHED)
Dagsommerfugler (revision 23004395; CACHED)
Kostroma oblast (revision 20987856; CACHED)
Abdou Alassane Dji Bo (revision 18553645; CACHED)
Nummerplan (revision 23641549; CACHED)
Peder Holt (revision 20582694; CACHED)
Hinkley Point kjernekraftverk (revision 19923411; CACHED)
Gaston Dron (revision 21986948; CACHED)
Kvarkstjerne (revision 22782921; CACHED)
Simeon av Sachsen-Coburg-Gotha (revision 23491308; CACHED)
Englands geografi (revision 21809846; CACHED)
Homofili (revision 23622236; CACHED)
Ildringen i Stillehavet (revision 23622988; CACHED)
Asfalt (revision 23211679; CACHED)
Zhu Rongji (revision 23451287; CACHED)
Jernfremstilling (revision 16290186; CACHED)
Fiskens anatomi (revision 22327556; CACHED)
Cussolenis mutabilis (revision 22867302; CACHED)
Flaggermusfisk (revision 20862463; CACHED)
Reionisering (revision 23179651; CACHED)
Kaitlin Sandeno (revision 22961329; CACHED)
Laura Farnsworth Dogu (revision 23531256; CACHED)
Ármann Smári Björnsson (revision 23531202; CACHED)
You Were Meant for Me (film) (revision 22797118; CACHED)
Donau (revision 23449106; CACHED)
Military (revision 23675622; CACHED)
Sverd (revision 23333958; CACHED)
By:Larm 2013 (revision 23668461; CACHED)
Maurice Sendak (revision 20717066; CACHED)
Balaka (distrikt) (revision 22786225; CACHED)
VM i friidrett 2015 (revision 23668119; CACHED)
Baron (revision 23408066; CACHED)
Myrperlemorvinge (revision 22303140; CACHED)
Morfologi (lingvistikk) (revision 23354934; CACHED)
Carlos Soler Barragán (revision 23175027; CACHED)
Declan Kennedy (revision 21175196; CACHED)
Mário de Noronha (revision 21865953; CACHED)
Gina Lollobrigida (revision 23310323; CACHED)
Michelle Trachtenberg (revision 23366997; CACHED)
Kaima Taira (revision 23340061; CACHED)
Ridder (romersk) (revision 15180957; CACHED)
Kari Cavén (revision 19118417; CACHED)
Sandefjord (revision 23651510; CACHED)
Madelon Baans (revision 18564659; CACHED)
Claire Huddart (revision 22976622; CACHED)
Portugal (revision 23481281; CACHED)
Linguistics (revision 20557553; CACHED)
Jernbanetorget holdeplass (revision 22375859; CACHED)
William Herschel (revision 22982996; CACHED)
Tribun (revision 21788422; CACHED)
Kerem Demirbay (revision 20548231; CACHED)
(225088) 2007 OR10 (revision 23499725; CACHED)
Lev Berg (revision 22406183; CACHED)
Svømming under VM i svømmesport 2013 – 4 x 200 meter fri stafett kvinner (revision 23655480; CACHED)
Nigar (revision 17605663; CACHED)
Sandtjern naturreservat (revision 20084761; CACHED)
Molly Quinn (revision 18181328; CACHED)
EM i fotball 2021 (revision 23435473; CACHED)
Persiabukta (revision 22779874; CACHED)
Oppfinner (revision 23643115; CACHED)
Elstra (revision 22358512; CACHED)
Taekwondo under Sommer-OL 2008 (revision 23653161; CACHED)
Liberatores (revision 19735144; CACHED)
Sinear (revision 19514049; CACHED)
Druten (revision 22183181; CACHED)
Dyrekretsen (revision 23228907; CACHED)
Heike Friedrich (revision 22418907; CACHED)
Palangka Raya (revision 19554112; CACHED)
Prods Oktor Skjærvø (revision 23252124; CACHED)
Karim Benzema (revision 23670219; CACHED)
Hurrittisk (revision 16959635; CACHED)
Ina Großmann (revision 23114416; CACHED)
Irrigasjon (revision 21820358; CACHED)
Kikert (revision 21154593; CACHED)
The Rainmakers (revision 23240516; CACHED)
Argostolibukten (revision 20260649; CACHED)
Frans I Stefan av Det tysk-romerske rike (revision 22218115; CACHED)
EM i friidrett (revision 22935019; CACHED)
Klinkbygging (revision 23420402; CACHED)
Kristelig Folkepartis Ungdom (revision 23561383; CACHED)
Wang Luna (revision 19974353; CACHED)
Elektromagnetisk spekter (revision 21759348; CACHED)
11. serierunde i 2. divisjon avdeling 3 2007 (revision 23066723; CACHED)
Meltzers gate holdeplass (revision 23087081; CACHED)
Keramikk (revision 23521027; CACHED)
Kaukasus (revision 23020454; CACHED)
Sensur (andre betydninger) (revision 23098407; CACHED)
Erich Kästner (revision 21825039; CACHED)
Pontifikalkollegiet (revision 20078331; CACHED)
Maja Plisetskaja (revision 23160088; CACHED)
Bread and Circus (revision 23358440; CACHED)
Babels tårn (revision 23588441; CACHED)
Georginio Wijnaldum (revision 23672894; CACHED)
Anatolia (revision 23565283; CACHED)
Rundsva (revision 23648648; CACHED)
Aktiv galaksekjerne (revision 21967347; CACHED)
Lyn Fotball Damer (revision 23631897; CACHED)
Pengeskap (revision 22817737; CACHED)
Skagway, Alaska (revision 23083599; CACHED)
Regissør (revision 20466279; CACHED)
Facebook (revision 23616196; CACHED)
Presnel Kimpembe (revision 22857419; CACHED)
Spelling (revision 18485338; CACHED)
Nassau County (New York) (revision 23639656; CACHED)
Andromedagalaksen (revision 23456974; CACHED)
Glass (revision 23009844; CACHED)
Aleksej Zjitnjuk (revision 22837985; CACHED)
Korinteidet (revision 16258852; CACHED)
Boltzmanns konstant (revision 23091522; CACHED)
Niobeperlemorvinge (revision 23443326; CACHED)
Westland Lynx (revision 23103994; CACHED)
Geovitenskap (revision 17642158; CACHED)
Hamilton County (Kansas) (revision 22370772; CACHED)
Frederick Lane (revision 22418841; CACHED)
Ip Man (revision 23622895; CACHED)
Animal (revision 23207366; CACHED)
Vitenskapelig metode (revision 23565392; CACHED)
An Unseen Enemy (revision 23134575; CACHED)
Marmor (revision 22262405; CACHED)
Noemi Batki (revision 23380331; CACHED)
Planet (revision 23393617; CACHED)
Marduk (revision 22147144; CACHED)
Barkbiller (revision 23006603; CACHED)
Viking (revision 23564349; CACHED)
Anemi (revision 22889988; CACHED)
Barão de Cotegipe (revision 20899870; CACHED)
Egilsstaðir (revision 18869564; CACHED)
Xiashan (revision 19409258; CACHED)
Frankrike, Vest- og Syd-Europa antiokensk-ortodokse erkebispedømme (revision 20956557; CACHED)
Boganiidae (revision 23512028; CACHED)
Clytemnestra (revision 22887277; CACHED)
Bahar Doğan (revision 23601782; CACHED)
Mørk rutevinge (revision 23448744; CACHED)
Odontispa (revision 22536384; CACHED)
Botia striata (revision 17817585; CACHED)
Šimun Vosić (Vossich) (revision 22130769; CACHED)
Leverkusen (revision 23672562; CACHED)
Romerriket (revision 23648464; CACHED)
Forfengelighetsstørrelse (revision 22857245; CACHED)
Fetial (revision 15275905; CACHED)
Det kongelige ungarske landvern (revision 20440707; CACHED)
Florian Thauvin (revision 23419297; CACHED)
Q-stjerne (revision 23654123; CACHED)
Public Enemy (revision 23156524; CACHED)
Brigitte Nielsen (revision 21293575; CACHED)
Adam Albert Graf Neipperg (revision 19735998; CACHED)
Lucius Cornelius Sulla (revision 20795373; CACHED)
Marie Louise of Bourbon-Parma (revision 20791640; CACHED)
Politics (revision 23636891; CACHED)
Selen (revision 23425889; CACHED)
Royal Astronomical Societys gullmedalje (revision 22364476; CACHED)
Ospesommerfugl (revision 22393034; CACHED)
Værøya (revision 23233265; CACHED)
Proskripsjon (revision 22267791; CACHED)
Vercingetorix (revision 23235652; CACHED)
Aulus Hirtius (revision 19757208; CACHED)
Queijo São Jorge (revision 15929173; CACHED)
Russisk (revision 23389473; CACHED)
Stjernehop (revision 23420199; CACHED)
Kyle Langford (revision 22821076; CACHED)
Lumbago (band) (revision 20851974; CACHED)
Aguilera (revision 22489452; CACHED)
Overskudd (revision 23498864; CACHED)
Steinert-familiens palass (revision 21126394; CACHED)
Aglajaperlemorvinge (revision 20616508; CACHED)
Kortbane-VM i svømming 2012 (revision 23186357; CACHED)
Malaria (revision 23362015; CACHED)
Superhop (revision 21308652; CACHED)
Kastelruth (revision 21145263; CACHED)
Liste over presidentene for Gabons nasjonalforsamling (revision 22243973; CACHED)
Eiko Kadono (revision 21834016; CACHED)
Kodiak, Alaska (revision 20972312; CACHED)
David Duchovny (revision 22784413; CACHED)
Sergio Caprari (revision 21864955; CACHED)
Joe Alaskey (revision 23385006; CACHED)
Gaius Cassius Longinus (revision 21598415; CACHED)
